title,url,release_date,critic_score,audience_score,release_year,title_clean,id,popularity,vote_count,vote_average,overview
At the Edge of the World,https://www.rottentomatoes.com/m/light_at_the_edge_of_the_world,2008,87.0,48.0,2008.0,at the edge of the world,56777,0.1965,15,6.7,"At the Edge of the World chronicles the controversial Sea Shepherd Antarctic Campaign against a Japanese whaling fleet. The international volunteer crew, under-trained and under-equipped, develop a combination of bizarre and brilliant tactics with which to stop the whalers. But first they must find the Japanese ships, a far more difficult challenge than ever imagined - long-time activist Paul Watson and first-time captain Alex Cornelissen employ an array of strategies in the hopes of finding an elusive adversary in the vast expanse of the Ross Sea. With one ship (the Farley Mowat) too slow to chase down the whaling fleet, with their second ship (the Robert Hunter) unsuited for Antarctic ice conditions and with no country supporting their efforts to enforce international law, the situation becomes increasingly desperate. Against all odds, however, a real-life pirate tale unfolds - a modern-day ""David vs. Goliath"" adventure."
"Sunday, Bloody Sunday",https://www.rottentomatoes.com/m/sunday_bloody_sunday,"Released Sep 8, 1971",87.0,70.0,1971.0,sunday bloody sunday,45938,0.9498,135,6.567,"Recently divorced career woman Alex Greville begins a romantic relationship with glamorous mod artist Bob Elkin, fully aware that he's also intimately involved with middle-aged doctor Daniel Hirsh. For both Alex and Daniel, the younger man represents a break with their repressive pasts, and though both know that Bob is seeing both of them, neither is willing to let go of the youth and vitality he brings to their otherwise stable lives."
Save the Tiger,https://www.rottentomatoes.com/m/save_the_tiger,"Released Feb 14, 1973",86.0,74.0,1973.0,save the tiger,38714,1.0383,90,6.6,A businessman's professional struggles begin to conflict with his personal life over the course of two days.
Turkish Delight,https://www.rottentomatoes.com/m/turkish_delight,1973,86.0,80.0,1973.0,turkish delight,21035,1.1933,210,6.845,"Gifted but hot-headed sculptor Eric has a stormy, erotic, and star-crossed romance with a beautiful young woman named Olga."
Walkabout,https://www.rottentomatoes.com/m/walkabout,1971,86.0,86.0,1971.0,walkabout,36040,2.2316,436,7.296,"Under the pretense of having a picnic, a geologist takes his teenage daughter and 6-year-old son into the Australian outback and attempts to shoot them. When he fails, he turns the gun on himself, and the two city-bred children must contend with harsh wilderness alone. They are saved by a chance encounter with an Aboriginal boy who shows them how to survive, and in the process underscores the disharmony between nature and modern life."
Harold and Maude,https://www.rottentomatoes.com/m/harold_and_maude,"Released Jan 1, 1971",86.0,93.0,1971.0,harold and maude,343,3.0372,1195,7.6,A deadpan young man obsessed with death meets an eccentric septuagenarian who teaches him to live life to the fullest.
Play Misty for Me,https://www.rottentomatoes.com/m/play_misty_for_me,1971,85.0,71.0,1971.0,play misty for me,15393,1.969,554,6.597,A brief fling between a late-night radio disc jockey and an obsessed female fan takes a frightening turn when another woman enters the picture.
McCabe & Mrs. Miller,https://www.rottentomatoes.com/m/mccabe_and_mrs_miller,"Released Jun 24, 1971",85.0,86.0,1971.0,mccabe mrs miller,29005,1.3354,443,7.2,A gambler and a prostitute become thriving business partners in a remote Old West mining town until a large corporation arrives on the scene.
The Bird With the Crystal Plumage,https://www.rottentomatoes.com/m/bird_with_the_crystal_plumage,"Released Jun 12, 1970",85.0,80.0,1970.0,the bird with the crystal plumage,20345,1.3763,826,7.142,"An American writer living in Rome witnesses an attempted murder that is connected to an ongoing killing spree in the city and conducts his own investigation, despite he and his girlfriend being targeted by the killer."
The Boys in the Band,https://www.rottentomatoes.com/m/the_boys_in_the_band,2020,84.0,74.0,2020.0,the boys in the band,597156,1.5076,450,6.781,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths."
Westworld,https://www.rottentomatoes.com/m/westworld,"Released Nov 21, 1973",84.0,70.0,1973.0,westworld,2362,3.0905,1433,6.8,"Delos is a futuristic amusement park that features themed worlds populated by human-like androids. After two patrons have a run-in with a menacing gunslinger in West World, the androids at Delos all begin to malfunction, causing havoc throughout the park."
Beware of a Holy Whore,https://www.rottentomatoes.com/m/beware_of_a_holy_whore,1971,84.0,62.0,1971.0,beware of a holy whore,32319,0.5382,60,6.2,"Film director Jeff and his lead actor are taking their time getting to set. In their absence, the crew lack a purposeful way to spend their time waiting, so they drink heavily. However, as booze is downed and frustration sets in, morale hits rock bottom."
M*A*S*H,https://www.rottentomatoes.com/m/mash,"Released Jan 30, 1970",84.0,83.0,1970.0,mash,651,3.4525,1140,6.952,"One of the world's most acclaimed comedies, M*A*S*H focuses on three Korean War Army surgeons brilliantly brought to life by Donald Sutherland, Tom Skerritt and Elliott Gould. Though highly skilled and deeply dedicated, they adopt a hilarious, lunatic lifestyle as an antidote to the tragedies of their Mobile Army Surgical Hospital, and in the process infuriate Army bureaucrats. Robert Duvall, Gary Burghoff and Sally Kellerman co-star as a sanctimonious Major, an other-worldly Corporal, and a self-righteous yet lusty nurse."
Buck and the Preacher,https://www.rottentomatoes.com/m/buck_and_the_preacher,1972,84.0,62.0,1972.0,buck and the preacher,26928,0.9373,62,6.3,A wagon master and a con-man preacher help freed slaves dogged by cheap-labor agents out West.
The Creeping Flesh,https://www.rottentomatoes.com/m/creeping_flesh,"Released Feb 12, 1973",83.0,52.0,1973.0,the creeping flesh,42469,0.9501,113,5.9,"A Victorian scientist returns to London with his paleontological bag-of-bones discovery from Papua New Guinea. Unfortunately, when exposed to water, flesh returns to the bones, unleashing a malevolent entity on the scientist's family and friends."
Bananas,https://www.rottentomatoes.com/m/bananas,"Released Apr 28, 1971",83.0,74.0,1971.0,bananas,11302,1.1116,815,6.686,"When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion."
Across 110th Street,https://www.rottentomatoes.com/m/across_110th_street,"Released Dec 19, 1972",83.0,78.0,1972.0,across 110th street,23847,0.8281,132,6.7,"In a daring robbery, some $300,000 is taken from the Italian mob. Several mafiosi are killed, as are two policemen. Lt. Pope and Capt. Mattelli are two New York City cops trying to break the case. Three small-time criminals are on the run with the money. Will the mafia catch them first, or will the police?"
On Any Sunday,https://www.rottentomatoes.com/m/on_any_sunday,"Released Jul 28, 1971",83.0,84.0,1971.0,on any sunday,29251,0.5191,24,6.8,"Documentary on motorcycle racing featuring stars of the sport, including film star Steve McQueen, a racer in his own right."
Something for Everyone,https://www.rottentomatoes.com/m/something_for_everyone,1970,83.0,70.0,1970.0,something for everyone,150043,0.6534,18,6.4,"In post-war Austria, an opportunistic young man begins working as a footman to a widowed countess and uses his sexual talents to better his station in life."
Chisum,https://www.rottentomatoes.com/m/chisum,1970,83.0,74.0,1970.0,chisum,38765,2.3187,200,6.7,Cattle baron John Chisum joins forces with Billy the Kid and Pat Garrett to fight the Lincoln County Land War in the New Mexico Territory of 1878.
Start the Revolution Without Me,https://www.rottentomatoes.com/m/start_the_revolution_without_me,"Released Feb 4, 1970",83.0,77.0,1970.0,start the revolution without me,19753,0.8392,44,5.9,"Two sets of identical twins are accidentally switched at birth. One pair, Phillipe and Pierre DeSisi, are aristocratic and haughty, while the other, Charles and Claude Coupé, are poor and dim-witted. On the eve of the French Revolution, both sets find themselves entangled in palace intrigue."
